Date,Price_euro,Open_euro,High_euro,Low_euro,Change_euro,Price_usd,Open_usd,High_usd,Low_usd,Change_usd,Price_gold,Open_gold,High_gold,Low_gold,Vol_gold,Change_gold,Price_nse,Open_nse,High_nse,Low_nse,Vol_nse,Change_nse
15-07-2024,91.02,90.9345,91.318,90.8875,-0.06%,83.551,83.507,83.628,83.493,0.05%,"73,471","73,105","73,737","73,035",4.56K,0.28%,"99,971.64","99,671.28","99,981.58","99,671.28",362.39M,0.30%
08-07-2024,90.364,90.2615,90.5565,90.2035,-0.13%,83.5,83.495,83.522,83.434,0.00%,"72,333","73,038","73,068","72,130",5.34K,-0.98%,"100,007.11","99,918.91","100,014.71","99,909.78",689.96M,-0.01%
16-02-2024,89.438,89.406,89.5675,89.084,0.06%,83.013,82.991,83.049,82.983,0.03%,"61,878","61,651","61,904","61,451",3.97K,0.42%,"105,722.78","104,856.60","105,740.36","104,856.60",342.42M,1.56%
19-04-2024,88.81,88.924,89.0735,88.707,-0.10%,83.358,83.548,83.721,83.362,-0.21%,"72,806","72,718","72,955","72,309",9.24K,0.17%,"99,539.75","99,845.91","99,934.79","99,539.75",257.85M,-0.31%
05-07-2024,90.481,90.2825,90.554,90.2405,0.26%,83.5,83.503,83.532,83.458,0.03%,"73,051","72,412","73,149","72,205",6.45K,0.95%,"100,022.03","100,063.32","100,102.79","99,877.68",412.64M,-0.04%
30-01-2024,90.135,90.0645,90.2425,89.8585,0.08%,83.12,83.136,83.177,83.087,-0.02%,"62,632","62,174","62,835","62,174",1.56K,0.72%,"103,110.15","104,699.66","104,706.12","102,885.14",648.95M,-1.49%
07-05-2024,89.742,89.924,90.0565,89.716,-0.17%,83.458,83.473,83.529,83.432,-0.02%,"71,148","71,280","71,398","70,927",5.64K,-0.31%,"98,228.50","98,741.51","98,819.95","98,201.94",425.65M,-0.48%
21-05-2024,90.343,90.461,90.6175,90.2975,-0.06%,83.25,83.297,83.373,83.226,-0.04%,"74,021","73,790","74,325","73,701",7.10K,-0.47%,"98,285.33","98,205.20","98,396.52","98,175.79",222.79M,0.11%
17-05-2024,90.525,90.693,90.773,90.3,-0.16%,83.28,83.511,83.52,83.273,-0.20%,"73,711","72,907","73,782","72,833",7.06K,1.00%,"98,125.73","98,022.05","98,208.81","98,022.05",140.75M,-0.03%
10-07-2024,90.441,90.285,90.4645,90.246,0.22%,83.51,83.492,83.545,83.465,0.05%,"72,668","72,530","72,972","72,500",4.80K,0.37%,"99,802.08","99,805.95","99,805.95","99,710.76",935.10M,0.00%
